User,Date,Tweet
@BorisJohnson,2/24/22,"I am appalled by the horrific events in Ukraine and I have spoken to President Zelenskyy to discuss next steps. 

President Putin has chosen a path of bloodshed and destruction by launching this unprovoked attack on Ukraine. 

The UK and our allies will respond decisively."
@BorisJohnson,2/24/22,"This is a catastrophe for our continent. 

I will make an address to the nation this morning on the Russian invasion of Ukraine. 

I will also speak to fellow G7 leaders and I am calling for an urgent meeting of all NATO leaders as soon as possible."
@BorisJohnson,2/24/22,"Our mission is clear – diplomatically, politically, economically – and eventually, militarily – this hideous and barbaric venture of Vladimir Putin must end in failure."
@BorisJohnson,2/24/22,"Ukraine is a country that for decades has enjoyed freedom and democracy and the right to choose its own destiny.

We – and the world – cannot allow that freedom just to be snuffed out. 

We cannot and will not just look away"
@BorisJohnson,2/24/22,"To our Ukrainian friends in this moment of agony, we are with you and we are on your side.

Your right to choose your own destiny is a right that the United Kingdom and our allies will always defend.

Slava Ukraini"
@BorisJohnson,2/25/22,"This afternoon I urged 
@NATO
 leaders to take immediate action against SWIFT to inflict maximum pain on President Putin and his regime.

The UK will introduce sanctions against Putin and Foreign Minister Sergey Lavrov imminently, on top of the sanctions package already announced."
@BorisJohnson,2/25/22,"To the people of Ukraine: Slava Ukraini. To the people of Russia: I do not believe this war is in your name. This crisis, this tragedy, can and must come to an end. Because the world needs a free and sovereign Ukraine."
@BorisJohnson,2/26/22,"Yesterday I urged NATO and Nordic partners to do all they can to support Ukraine and 
@ZelenskyyUa
. I am pleased even more allies have come forward with defensive and humanitarian aid. We must stand with the Ukrainian people as they defend their country and democracies everywhere."
@BorisJohnson,2/26/22,How the UK is supporting Ukraine. #StandWithUkraine
@BorisJohnson,2/26/22,"I spoke to 
@markrutte
 this afternoon to thank him for strong cooperation in ensuring a supply of defensive aid to Ukraine. We discussed SWIFT and the need for urgent action to exclude Russia. The UK and the Netherlands are united in our condemnation of Putin’s attack on Ukraine."
@BorisJohnson,2/27/22,"This evening I spoke to President 
@ZelenskyyUa
. The heroism of the President and his people in the defence of their country is awe-inspiring.

We are clear – Russia must be isolated diplomatically and financially. I welcome increased willingness to exclude Russia from SWIFT."
@BorisJohnson,2/27/22,"Tonight I met personnel at 
@RAFBrizeNorton
 to thank them for their efforts in coordinating the UK response to the invasion of Ukraine
 
The UK has sent defensive military aid to Ukraine and offered a full package of support to 
@NATO
 to strengthen its eastern flank."
@BorisJohnson,2/27/22,"We have taken decisive action tonight with our international partners to shut Russia out of the global financial system, including the important first step of ejecting Russian banks from SWIFT. 

We will keep working together to ensure Putin pays the price for his aggression"
