User,Date,Tweet
@marcorubio,2/24/2022,"In the hours to come #Russia will -conduct strikes on air defense systems -move to cut off #Kyiv from eastern #Ukraine -move to cut off Ukraine’s military forces on the line of contact in the east to prevent them from falling back to defend Kyiv



I hope we are learning a valuable lesson with #Ukraine 

We need to produce our own energy, make things again & not depend on #Russia & #China"
@marcorubio,2/24/2022,"#Putin thinks #Russia’s troops will be greeted as liberators

He may soon find out occupying #Ukraine is about as fun as eating a porcupine"
@marcorubio,2/24/2022,The #Russian invasion of #Ukraine is now underway
@marcorubio,2/24/2022,"The people of #Ukraine are tough people who will NEVER accept being ruled by #Putin Men,women,children,the elderly,they are going to fight And they are going to maim & kill alot of Russians"
@marcorubio,2/24/2022,"#Russia’s airborne forces are attempting to take control of the airport in #Kyiv to they can fly in forces to occupy the capitol city An amphibious assault on the key port city of #Mariupol is now underway Ground forces now moving in from Belarus,Crimea & from #Russia"
@marcorubio,2/24/2022,"#Russia is now working on:
 
-establishing air superiority via targeted surgical strikes
-a pincer movement to trap Ukrainian forces in the east & cut them off from #Kyiv 
-finally attempt to decapitate Ukrainian govt by targeting govt buildings,leaders & command & control systems"
@marcorubio,2/24/2022,Russian aircraft are now en route to conduct additional targeted strikes on a number of key defense sites through all of #Ukraine
@marcorubio,2/24/2022,Long range missile launches from #Russia are now underway They are headed towards various pre-selected military sites throughout #Ukraine
@marcorubio,2/24/2022,"To clarify what is underway is a full scale & comprehensive military assault throughout #Ukraine Airborne & amphibious landings,missile strikes from air,ground & naval forces, electronic & cyber attacks & a large ground force to occupy a large swath of territory"
@marcorubio,2/24/2022,"Seen this argument below in various places & it’s simply not true A pledge that #Ukraine would never join NATO was not Putin’s only demand As recently as last week he once again demanded NATO leave every country that joined after 1997 including Bulgaria, Romania & 12 others"
@marcorubio,2/24/2022,#Russia isn’t just focused on seizing eastern #Ukraine Russian military forces are working towards isolating #Kyiv at this very moment
@marcorubio,2/24/2022,#Russia has now created a new front in northern #Ukraine with assistance from #Belarus This is part of the plan to carry out a double envelopment of Ukrainian forces in the east & isolate #Kyiv
@marcorubio,2/24/2022,#Ukraine is outgunned and outmanned But they are brave & tough fighters and as the world will soon learn they have already inflicted damage on Russian invaders
@marcorubio,2/24/2022,One very concerning development is #Russia has carried out a few targeted operations uncomfortably close to the Polish border This is the danger of miscalculation & human error that can quickly lead to a catastrophic escalation
@marcorubio,2/24/2022,5. #Putin nuclear threat last night was not a surprise. For years now #Russia’s military doctrine in a war against NATO calls for the use of battlefield nuclear weapons in order to “escalate to deescalate” & force a negotiated ceasefire. (5of5)
@marcorubio,2/24/2022,4. #Russia has 3 objectives over the next 72 hours -encircle & cut off #Ukraine forces in the east -deny Ukraine the ability to resupply via airports and the Black Sea - Set the stage to install a pro-Russian interim government in #Kyiv (4of5)
@marcorubio,2/24/2022,3. #Russia is carrying out deliberate strikes on civilian targets. The purpose is to demoralize the population & diminish the will to resist. (3of5)
@marcorubio,2/24/2022,"2. #Russia has launched several attacks on Ivano-Frankivsk, Vinnytsia & Lutsk, cities very close to #Ukraine’s borders with NATO countries Romania,Poland & Slovakia. Just one mistake,miscalculation or misunderstanding could set off a broader & catastrophic conflict (2of5)"
@marcorubio,2/24/2022,#Ukraine update: 1. #Russia’s invasion has already taken longer & been costlier than #Putin expected. Almost certain his military & intel leaders knew this ahead of time but no one dared tell him his expectations were unrealistic (1of5)
@marcorubio,2/24/2022,Climate change religious zealot John Kerry is worried that the first major ground war in Europe in 80 years & #Putin’s threat of nuclear consequences is getting more attention than his climate agenda
@marcorubio,2/24/2022,"#Russia plans to encircle #Kyiv, force the legitimate govt of #Ukraine to flee & install “Vichy Ukranian”puppets Key to this plan is a large #Russian Airborne Forces operation We may see an attempt to execute on that operation within a matter of hours #UkraineRussiaConflict"
@marcorubio,2/25/2022,One day the world will be awed when it hears the stories of the bravery and heroism happening at this very moment in #Ukraine
@marcorubio,2/25/2022,"We have only seen the opening phase of #Putin’s barbaric plan,but it has been more difficult than he expected There are now indications #Kyiv may soon be the focus of his rage, and then the entire world would come face to face with a depravity not seen in 80 years"
@marcorubio,2/25/2022,Today #Putin started to learn what I tweeted yesterday #Ukraine will not be easy to invade And Ukrainians will be impossible to conquer
@marcorubio,2/25/2022,These people on tv who keep saying this all could have been avoided if only we would have agreed to never allow #Ukraine to join NATO either don’t know what they are talking about or are lying
@marcorubio,2/25/2022,Appears at least three dozen missiles have been fired at #Kyiv area in the last 40 minutes
@marcorubio,2/25/2022,"The courage,strength & determination of the people of #Ukraine is inspiring the world,revealing the moral laziness of many in the West & exposing #Putin’s sadistic criminality"
@marcorubio,2/25/2022,Alarming development today as #Russia is enforcing illegitimate maritime claims in the Black Sea by attacking foreign commercial ships This is about denying #Ukraine resupplies But it creates the potential for dangerous escalation if NATO is forced to send naval escorts
@marcorubio,2/25/2022,#Kharkiv is under an assault so inhumane in its targeting it feels demonically inspired
@marcorubio,2/25/2022,"The first 48 hours of #Putin’s plan envisioned not getting bogged down in cities,capturing #Kyiv,eliminating top govt leaders & a puppet “Supreme Council” assuming control of #Ukraine Well as a great philosopher once said “Everyone has a plan until they get punched in the face”"
@marcorubio,2/25/2022,"This is a very dangerous moment #Putin is increasingly angry & isolated And NATO is outraged by his barbarity & feels increasingly threatened by his actions At some point someone is going to take actions they may not view as an attack, but that the other side does"
@marcorubio,2/26/2022,Multiple indications that the largest assault yet on #Kyiv has begun #Ukraine will fight without retreat Historic acts of patriotic bravery are occurring right now
