User,Date,Tweet
@POTUS,2/24/22,"I spoke with the G7 leaders today, and we are in full agreement: We will limit Russia’s ability to be part of the global economy. We will stunt their ability to finance and grow Russia’s military. We will impair their ability to compete in a high-tech, 21st century economy."
@POTUS,2/24/22,We’ve already seen the impact of our actions on the Russian currency — the ruble — which early today hit its weakest level ever. The Russian stock market plunged today. And the Russian government’s borrowing rate spiked above 15 percent.
@POTUS,2/25/22,We have been transparent with the world — we shared declassified intelligence about Russia’s plans and cyber attacks and false pretexts — so that there can be no confusion or cover up. Putin is the aggressor. Putin chose this war.
@POTUS,2/25/22,"Today, I authorized a new round of sanctions and limitations in response to Putin’s war of choice against Ukraine. We have purposefully designed these sanctions to maximize the long-term impact on Russia – and to minimize the impact on the United States."
@POTUS,2/25/22,"The next few days, weeks, and months will be hard on the people of Ukraine. Putin has unleashed a great pain on them. But the Ukrainian people have known 30 years of independence — and they have shown that they will not tolerate anyone who tries to take their country backwards."
@POTUS,2/26/22,"Today, I met with fellow leaders from our NATO Allies and spoke with President Zelenskyy of Ukraine. The United States continues to provide economic, humanitarian, and security support–and we continue to rally other countries to provide similar assistance."
@POTUS,2/28/22,I spoke today with Allies and partners to discuss Russia’s unprovoked war on Ukraine. We are continuing our support for the Ukrainian people as they defend their country and affirmed our readiness to keep imposing severe costs on Russia if they do not de-escalate.
@POTUS,3/1/22,"I just spoke with President Zelenskyy to discuss our continued support for Ukraine — including security assistance and humanitarian aid — as it defends itself against Russian aggression. We will hold Russia accountable, and our sanctions are already having a devastating impact."
@POTUS,3/2/22,"President Putin thought he could roll into Ukraine — and the world would roll over. Instead, he met a wall of strength he never imagined. He met the Ukrainian people."
@POTUS,3/2/22,"The U.S. Department of Justice is assembling a dedicated task force to go after the crimes of Russian oligarchs. We are joining with our European allies to find and seize their yachts, their luxury apartments, their private jets. We are coming for their ill-begotten gains."
@POTUS,3/2/22,"Together with our allies, we are providing support to the Ukrainians in their fight for freedom. Military assistance. Economic assistance. Humanitarian assistance. And we will continue to aid the Ukrainian people as they defend their country and to help ease their suffering."
@POTUS,3/2/22,"When the history of this era is written, Putin’s war on Ukraine will have left Russia weaker and the rest of the world stronger."
@POTUS,3/2/22,The United States of America stands with the Ukrainian people.
@POTUS,3/3/22,"Putin thought the West and NATO wouldn’t respond — and he thought he could divide us at home. He was wrong. I spent countless hours unifying our European Allies. We countered Russia’s lies with truth. And now, the free world is holding him accountable."
@POTUS,3/3/22,"This afternoon, I’ll be meeting with my Cabinet at the White House. We’ll be discussing additional sanctions on Russian oligarchs, our plans to lower costs for Americans, our unity agenda, and more."
@POTUS,3/3/22,"In my State of the Union Address, I said the United States is going after the crimes of Russian oligarchs. Today, we’re adding dozens of names to the list — and banning travel to America by more than 50 Russian oligarchs, their families, and close associates."
@POTUS,3/4/22,I look forward to hosting Finnish President Sauli Niinistö at the White House this afternoon for a bilateral meeting. We’ll be discussing the latest developments regarding Russia’s war on Ukraine and how to strengthen European security.
@POTUS,3/8/22,Watch live as I announce actions to continue to hold Russia accountable for its unprovoked and unjustified war on Ukraine.
@POTUS,3/8/22,"Today, I’m announcing that the United States is targeting a main artery of Russia’s economy."
